date,open,close,high,low,volume,money
2005-01-04,2.55,2.48,2.55,2.47,535306.0,1341154.0
2005-01-05,2.48,2.57,2.57,2.48,1028925.0,2619858.0
2005-01-06,2.57,2.61,2.62,2.56,2501739.0,6488374.0
2005-01-07,2.62,2.69,2.72,2.6,6331809.0,16982231.0
2005-01-10,2.69,2.68,2.7,2.64,3031960.0,8096010.0
2005-01-11,2.68,2.68,2.7,2.67,3278702.0,8794742.0
2005-01-12,2.68,2.65,2.68,2.63,1839586.0,4860252.0
2005-01-13,2.64,2.65,2.67,2.63,1892296.0,5016737.0
2005-01-14,2.65,2.62,2.65,2.6,1983799.0,5214739.0
2005-01-17,2.6,2.62,2.62,2.57,984929.0,2566859.0
2005-01-18,2.62,2.63,2.63,2.59,785243.0,2045630.0
2005-01-19,2.63,2.6,2.63,2.59,376713.0,982389.0
2005-01-20,2.58,2.6,2.63,2.56,967403.0,2517891.0
2005-01-21,2.6,2.71,2.72,2.6,2444021.0,6515318.0
2005-01-24,2.76,2.77,2.78,2.66,6320251.0,17289146.0
2005-01-25,2.73,2.77,2.78,2.7,3516339.0,9714341.0
2005-01-26,2.76,2.77,2.78,2.74,5052944.0,13967934.0
2005-01-27,2.79,2.73,2.79,2.72,3620526.0,9922452.0
2005-01-28,2.73,2.73,2.75,2.7,2387050.0,6513843.0
2005-01-31,2.72,2.71,2.72,2.67,907136.0,2446967.0
2005-02-01,2.7,2.7,2.76,2.68,828971.0,2261019.0
2005-02-02,2.7,2.8,2.8,2.7,15641143.0,42962050.0
2005-02-03,2.8,2.83,2.87,2.75,20637257.0,58457995.0
2005-02-04,2.82,2.93,2.99,2.8,12315909.0,36034030.0
2005-02-16,2.94,2.95,3.02,2.94,8410687.0,25230399.0
2005-02-17,2.95,2.92,2.98,2.9,5536060.0,16321277.0
2005-02-18,2.9,2.84,2.93,2.83,6180758.0,17850449.0
2005-02-21,2.85,3.0,3.01,2.85,4827513.0,14194587.0
2005-02-22,3.0,3.0,3.04,2.97,6091106.0,18329305.0
2005-02-23,3.0,3.0,3.03,2.97,5489352.0,16449495.0
2005-02-24,3.0,2.94,3.0,2.91,4685366.0,13792239.0
2005-02-25,2.94,2.94,3.0,2.92,4379922.0,12970109.0
2005-02-28,2.94,2.85,2.96,2.85,7593360.0,21861358.0
2005-03-01,2.85,2.83,2.88,2.81,5378119.0,15255758.0
2005-03-02,2.85,2.81,2.88,2.8,4094033.0,11579070.0
2005-03-03,2.81,2.86,2.88,2.79,2373678.0,6737670.0
2005-03-04,2.87,2.85,2.87,2.83,1913625.0,5452830.0
2005-03-07,2.85,2.86,2.89,2.84,1723701.0,4941562.0
2005-03-08,2.86,2.91,2.93,2.84,3244634.0,9352494.0
2005-03-09,2.92,2.85,2.93,2.84,4443587.0,12762610.0
2005-03-10,2.85,2.75,2.85,2.73,6831670.0,18929628.0
2005-03-11,2.76,2.72,2.78,2.7,2715170.0,7411758.0
2005-03-14,2.72,2.74,2.76,2.69,5931350.0,16131865.0
2005-03-15,2.74,2.66,2.74,2.65,6544963.0,17580123.0
2005-03-16,2.64,2.63,2.67,2.62,5115508.0,13499101.0
2005-03-17,2.55,2.56,2.61,2.55,4243854.0,10949343.0
2005-03-18,2.55,2.6,2.6,2.54,3027876.0,7787913.0
2005-03-21,2.57,2.61,2.63,2.54,3183825.0,8296774.0
2005-03-22,2.6,2.58,2.61,2.57,3049067.0,7909831.0
2005-03-23,2.58,2.59,2.63,2.57,1736445.0,4528773.0
2005-03-24,2.6,2.61,2.61,2.56,3231333.0,8393627.0
2005-03-25,2.6,2.59,2.67,2.59,1312047.0,3449059.0
2005-03-28,2.62,2.56,2.63,2.55,1594763.0,4080140.0
2005-03-29,2.55,2.54,2.57,2.53,2338205.0,5942004.0
2005-03-30,2.51,2.5,2.52,2.46,2172515.0,5405732.0
2005-03-31,2.48,2.48,2.5,2.44,3068828.0,7566987.0
2005-04-01,2.49,2.52,2.6,2.45,4043251.0,10087635.0
2005-04-04,2.5,2.45,2.51,2.44,4423469.0,10865576.0
2005-04-05,2.44,2.37,2.44,2.34,8163173.0,19466539.0
2005-04-06,2.37,2.39,2.4,2.31,5846058.0,13722438.0
2005-04-07,2.37,2.5,2.53,2.37,7984266.0,19505140.0
2005-04-08,2.5,2.5,2.55,2.44,3508367.0,8778484.0
2005-04-11,2.5,2.51,2.53,2.46,4649451.0,11579622.0
2005-04-12,2.52,2.46,2.52,2.46,2096948.0,5195685.0
2005-04-13,2.49,2.5,2.54,2.48,3101104.0,7793652.0
2005-04-14,2.52,2.46,2.52,2.46,2279727.0,5663892.0
2005-04-15,2.47,2.45,2.47,2.37,3910808.0,9449310.0
2005-04-18,2.43,2.44,2.45,2.38,2119873.0,5163828.0
2005-04-19,2.44,2.5,2.51,2.43,1776561.0,4403023.0
2005-04-20,2.47,2.47,2.51,2.45,2548638.0,6309256.0
2005-04-21,2.47,2.49,2.52,2.46,2868459.0,7150557.0
2005-04-22,2.49,2.52,2.54,2.49,2616951.0,6585921.0
2005-04-25,2.52,2.58,2.6,2.49,6623162.0,16971598.0
2005-04-26,2.58,2.58,2.58,2.58,0.0,0.0
2005-04-27,2.6,2.59,2.64,2.56,6635820.0,17285816.0
2005-04-28,2.57,2.64,2.64,2.51,8997350.0,23335147.0
2005-04-29,2.63,2.72,2.73,2.61,12683717.0,34061864.0
2005-05-09,2.69,2.67,2.7,2.6,2522398.0,6673706.0
2005-05-10,2.65,2.65,2.67,2.59,5292682.0,13936335.0
2005-05-11,2.64,2.61,2.66,2.6,1994118.0,5243670.0
2005-05-12,2.58,2.49,2.58,2.46,4716120.0,11862242.0
2005-05-13,2.47,2.44,2.53,2.37,3276263.0,8001905.0
2005-05-16,2.44,2.42,2.47,2.39,1794682.0,4341755.0
2005-05-17,2.41,2.42,2.47,2.41,1902279.0,4634565.0
2005-05-18,2.42,2.49,2.49,2.42,1884064.0,4642914.0
2005-05-19,2.49,2.5,2.5,2.47,640223.0,1593633.0
2005-05-20,2.5,2.47,2.5,2.46,677458.0,1680357.0
2005-05-23,2.48,2.47,2.49,2.46,1935849.0,4797128.0
2005-05-24,2.47,2.47,2.51,2.46,409522.0,1017865.0
2005-05-25,2.48,2.47,2.49,2.44,2275723.0,5588626.0
2005-05-26,2.46,2.43,2.46,2.43,1362418.0,3332928.0
2005-05-27,2.43,2.43,2.44,2.39,1278805.0,3096290.0
2005-05-30,2.41,2.42,2.43,2.39,1232581.0,2981043.0
2005-05-31,2.42,2.36,2.42,2.35,1219070.0,2900626.0
2005-06-01,2.35,2.16,2.39,2.14,2389272.0,5426595.0
2005-06-02,2.14,2.15,2.16,2.09,2738632.0,5818635.0
2005-06-03,2.15,2.25,2.26,2.13,1097282.0,2396328.0
